Time,ADC Value,Std Deviation,Calibrated OD
21210,2255.25,154.0588,0.1859671
21240,2261.76,147.3237,0.1790696
21270,2257.51,155.4268,0.1835703
21300,2255.91,149.2595,0.1852671
21330,2253.64,154.8325,0.1876762
21360,2260.33,149.2367,0.180583
21390,2251.59,155.7638,0.1898537
21420,2257.75,148.7543,0.1833161
21450,2256.54,155.0498,0.1845987
21480,2260.3,151.5113,0.1806148
21510,2261.84,155.9023,0.1789849
21540,2266.75,148.4781,0.1737962
21570,2257.39,154.921,0.1836978
21600,2249.94,149.1983,0.191608
21630,2250.27,154.3211,0.1912569
21660,2263.81,148.7337,0.1769018
21690,2254.37,154.9764,0.186901
21720,2256.63,148.9264,0.1845035
21750,2250.81,155.3517,0.1906827
21780,2261.51,148.5551,0.1793342
21810,2259.01,156.0695,0.181981
21840,2259.47,149.1839,0.1814938
21870,2260.17,153.5155,0.1807525
21900,2250.92,148.8455,0.190566
21930,2255.07,155.1207,0.1861581
21960,2265.29,147.37,0.1753378
21990,2265.45,154.9683,0.175169
22020,2258.0,149.4554,0.1830511
22050,2246.49,153.7739,0.19528
22080,2255.77,148.8072,0.1854155
22110,2257.85,152.5652,0.1832099
22140,2257.49,149.417,0.1835916
